,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
275,40.99,26.1238,2023-08-12,902,not fire,0.7886,0.4053
276,41.192,26.1687,2023-08-30,1228,fire,0.6379,0.3913
277,36.0904,27.9248,2023-07-14,8,not fire,0.8877,0.6207
278,41.0492,26.1038,2023-08-11,1926,not fire,0.8753,0.5682
279,38.0828,23.4629,2023-07-28,1154,not fire,0.4342,0.3033
280,36.0895,27.9149,2023-07-07,921,not fire,0.9119,0.589
281,38.3624,22.7247,2023-08-14,1133,not fire,0.703,0.4398
282,41.0187,26.0563,2023-08-02,43,not fire,0.8422,0.552
283,37.9547,23.0327,2023-07-28,51,not fire,0.5585,0.3306
284,40.8976,26.0763,2023-08-20,57,fire,0.7489,0.4084
285,38.0267,24.5149,2023-08-14,50,not fire,0.7329,0.4824
286,36.2462,27.9218,2023-07-19,1058,fire,0.7228,0.5034
287,38.2514,23.8373,2023-07-26,1142,not fire,0.6737,0.4449
288,36.0523,27.9266,2023-08-03,857,not fire,0.7879,0.4724
289,39.7688,19.8912,2023-07-05,937,not fire,0.7629,0.5063
290,38.5283,23.6475,2023-08-01,1926,not fire,0.7658,0.4692
291,41.0348,26.1299,2023-08-22,43,fire,0.7845,0.4074
292,37.9048,24.8041,2023-08-06,1118,not fire,0.731,0.4243
293,36.1312,27.9305,2023-07-13,817,not fire,0.8453,0.622
294,38.1496,23.5383,2023-07-09,849,not fire,0.4042,0.2804
295,41.0495,26.1756,2023-08-12,1148,not fire,0.7518,0.473
296,41.0569,26.0263,2023-08-21,1926,fire,0.8087,0.4454
297,38.4022,23.1994,2023-07-13,1208,not fire,0.898,0.5736
298,39.2366,22.3281,2023-08-05,1235,not fire,0.8165,0.651
299,41.1121,26.0717,2023-08-24,1950,fire,0.7556,0.4521
300,36.1574,27.9408,2023-07-03,817,not fire,0.8373,0.6536
301,40.9336,26.034,2023-07-31,1202,not fire,0.7735,0.4128
302,40.9771,26.0828,2023-08-22,43,fire,0.7139,0.3897
303,41.0012,26.1399,2023-08-22,1148,fire,0.7091,0.3592
304,40.9263,25.84,2023-08-21,1926,fire,0.7332,0.4309
305,40.9864,26.0242,2023-08-22,902,fire,0.6042,0.3373
306,41.054,24.7263,2023-08-21,1106,fire,0.8383,0.5217
307,40.9982,26.1722,2023-08-13,805,not fire,0.5583,0.3087
308,36.1821,27.9529,2023-08-10,1935,not fire,0.696,0.4127
309,38.3376,22.7244,2023-08-22,1147,fire,0.8545,0.6446
310,40.8935,26.0453,2023-07-30,1943,not fire,0.8101,0.4293
311,41.1658,26.1332,2023-08-30,1228,fire,0.566,0.3193
312,38.1293,23.6748,2023-08-22,2006,fire,0.646,0.4289
313,40.8907,25.8143,2023-08-12,43,not fire,0.8085,0.4642
314,40.8939,25.8526,2023-08-12,43,not fire,0.8889,0.5956
315,41.0074,25.9529,2023-08-22,43,fire,0.8442,0.4709
316,36.1209,27.9163,2023-08-12,1919,not fire,0.8931,0.612
317,36.0904,27.9248,2023-07-24,8,fire,0.8877,0.6207
318,36.1251,27.9168,2023-07-04,857,not fire,0.9175,0.68
319,38.3442,21.5384,2023-08-02,2006,not fire,0.6855,0.4599
320,38.1274,23.446,2023-07-08,1154,not fire,0.6624,0.5064
321,40.9287,25.9582,2023-08-21,1106,fire,0.77,0.4774
322,38.5413,23.6422,2023-08-31,1926,not fire,0.7247,0.4766
323,40.9125,25.7372,2023-08-12,2007,not fire,0.5285,0.2835
324,36.2037,28.0475,2023-08-13,1111,not fire,0.8933,0.5631
325,38.1251,23.6189,2023-08-24,1133,fire,0.2215,0.0912
326,39.3566,22.7402,2023-07-07,1139,not fire,0.7649,0.6895
327,38.1619,22.2399,2023-07-03,1919,not fire,0.7227,0.5321
328,38.1032,23.462,2023-07-28,946,not fire,0.7633,0.5456
329,36.077,27.9376,2023-07-23,817,fire,0.892,0.5819
330,40.919,25.9203,2023-08-21,1926,fire,0.8352,0.539
331,40.9031,25.7959,2023-08-02,902,not fire,0.6466,0.3735
332,40.9083,25.8666,2023-08-11,1926,not fire,0.8756,0.6313
333,38.0837,23.6364,2023-08-22,1147,fire,0.4565,0.2482
334,36.1203,27.9304,2023-08-03,8,not fire,0.8651,0.5469
335,36.2453,27.9931,2023-08-13,8,not fire,0.6416,0.3999
336,38.0245,24.5274,2023-08-04,50,not fire,0.7369,0.4143
337,40.9918,25.9302,2023-08-31,1926,not fire,0.8623,0.5264
